id,sentiment
1,3
2,3
3,3
4,3
5,3
6,2
7,3
8,3
9,3
10,2
11,3
12,2
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,2
26,3
27,3
28,3
29,3
30,4
31,3
32,3
33,2
34,3
35,4
36,3
37,3
38,2
39,3
40,2
41,4
42,3
43,4
44,3
45,3
46,3
47,3
48,4
49,3
50,3
51,2
52,3
53,3
54,3
55,3
56,3
57,3
58,2
59,3
60,3
61,2
62,3
63,4
64,3
65,2
66,2
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,2
77,2
78,2
79,3
80,2
81,3
82,4
83,2
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,2
99,3
100,2
101,2
102,3
103,3
104,4
105,3
106,3
107,3
108,4
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,4
123,3
124,3
125,3
126,3
127,2
128,3
129,3
130,4
131,3
132,3
133,2
134,3
135,3
136,3
137,3
138,3
139,2
140,2
141,3
142,3
143,2
144,3
145,2
146,3
147,3
148,2
149,2
150,3
151,1
152,3
153,2
154,2
155,2
156,3
157,3
158,1
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,4
174,3
175,3
176,3
177,3
178,3
179,2
180,3
181,2
182,3
183,3
184,3
185,3
186,2
187,3
188,3
189,2
190,2
191,3
192,3
193,2
194,3
195,3
196,3
197,3
198,3
199,2
200,3
201,3
202,3
203,2
204,2
205,2
206,3
207,3
208,2
209,3
210,2
211,3
212,3
213,3
214,2
215,3
216,2
217,2
218,3
219,2
220,4
221,2
222,2
223,4
224,3
225,3
226,3
227,3
228,4
229,2
230,3
231,3
232,3
233,3
234,3
235,4
236,3
237,3
238,3
239,3
240,3
241,4
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,4
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,2
276,2
277,3
278,3
279,3
280,2
281,3
282,2
283,2
284,2
285,3
286,3
287,3
288,2
289,2
290,3
291,3
292,2
293,2
294,3
295,3
296,3
297,2
298,2
299,3
300,2
301,2
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,2
313,3
314,3
315,2
316,3
317,3
318,3
319,3
320,3
321,2
322,2
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,2
335,3
336,3
337,3
338,2
339,2
340,2
341,2
342,3
343,3
344,2
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,2
354,2
355,2
356,3
357,3
358,4
359,3
360,2
361,3
362,2
363,3
364,2
365,3
366,3
367,3
368,3
369,3
370,3
371,2
372,3
373,3
374,3
375,3
376,2
377,3
378,2
379,3
380,3
381,2
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,2
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,2
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,2
450,3
451,3
452,4
453,3
454,2
455,3
456,2
457,3
458,2
459,3
460,3
461,2
462,3
463,3
464,3
465,3
466,2
467,3
468,2
469,3
470,2
471,3
472,3
473,3
474,3
475,2
476,3
477,3
478,2
479,3
480,3
481,3
482,3
483,2
484,3
485,2
486,3
487,3
488,3
489,3
490,3
491,2
492,2
493,3
494,2
495,3
496,2
497,3
498,2
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,2
508,2
509,3
510,2
511,3
512,2
513,3
514,3
515,2
516,3
517,2
518,3
519,3
520,2
521,2
522,2
523,2
524,2
525,3
526,3
527,3
528,2
529,2
530,2
531,2
532,3
533,3
534,3
535,3
536,3
537,2
538,3
539,3
540,2
541,2
542,2
543,3
544,3
545,3
546,2
547,2
548,3
549,3
550,2
551,3
552,2
553,2
554,3
555,3
556,3
557,3
558,3
559,2
560,3
561,3
562,3
563,3
564,3
565,4
566,2
567,2
568,2
569,2
570,3
571,2
572,2
573,3
574,3
575,3
576,3
577,2
578,2
579,3
580,3
581,3
582,3
583,3
584,3
585,2
586,3
587,3
588,2
589,3
590,3
591,3
592,3
593,3
594,2
595,2
596,3
597,3
598,3
599,2
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,2
612,2
613,3
614,3
615,3
616,2
617,3
618,3
619,3
620,3
621,2
622,2
623,3
624,3
625,2
626,3
627,3
628,2
629,3
630,3
631,2
632,3
633,2
634,2
635,3
636,2
637,3
638,3
639,3
640,3
641,2
642,2
643,2
644,2
645,2
646,3
647,2
648,3
649,2
650,3
651,3
652,3
653,3
654,3
655,2
656,3
657,3
658,2
659,3
660,2
661,2
662,3
663,3
664,3
665,3
666,3
667,2
668,3
669,3
670,3
671,2
672,2
673,2
674,2
675,3
676,2
677,2
678,2
679,3
680,2
681,3
682,3
683,3
684,3
685,2
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,2
694,3
695,3
696,3
697,3
698,3
699,2
700,3
701,3
702,2
703,2
704,2
705,3
706,3
707,3
708,3
709,3
710,3
711,2
712,2
713,3
714,3
715,2
716,2
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,2
731,3
732,3
733,3
734,3
735,2
736,3
737,3
738,3
739,3
740,2
741,3
742,3
743,3
744,2
745,3
746,3
747,3
748,3
749,2
750,3
751,2
752,2
753,3
754,3
755,3
756,2
757,2
758,3
759,2
760,3
761,3
762,2
763,2
764,2
765,3
766,3
767,2
768,3
769,2
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,2
781,3
782,3
783,2
784,3
785,3
786,3
787,3
788,3
789,2
790,3
791,1
792,2
793,2
794,3
795,3
796,4
797,3
798,3
799,3
800,2
801,2
802,3
803,2
804,3
805,2
806,3
807,3
808,3
809,2
810,2
811,3
812,2
813,3
814,3
815,2
816,3
817,2
818,3
819,3
820,3
821,3
822,3
823,3
824,2
825,3
826,2
827,2
828,2
829,3
830,3
831,3
832,2
833,3
834,2
835,3
836,2
837,2
838,3
839,3
840,2
841,2
842,2
843,2
844,3
845,2
846,2
847,3
848,2
849,2
850,2
851,2
852,3
853,2
854,2
855,3
856,3
857,3
858,3
859,3
860,3
861,3
862,2
863,3
864,2
865,2
866,2
867,2
868,3
869,3
870,2
871,2
872,2
873,3
874,2
875,3
876,2
877,3
878,3
879,3
880,3
881,3
882,3
883,3
884,2
885,3
886,2
887,2
888,2
889,2
890,3
891,2
892,3
893,3
894,3
895,3
896,3
897,3
898,3
899,3
900,3
901,3
902,3
903,3
904,2
905,2
906,3
907,3
908,3
909,2
910,3
911,2
912,2
913,3
914,2
915,3
916,3
917,3
918,3
919,3
920,3
921,1
922,2
923,2
924,3
925,3
926,3
927,3
928,3
929,2
930,3
931,3
932,2
933,2
934,3
935,2
936,3
937,2
938,2
939,2
940,2
941,2
942,3
943,2
944,3
945,3
946,3
947,2
948,2
949,3
950,2
951,2
952,4
953,2
954,2
955,2
956,2
957,3
958,3
959,2
960,2
961,2
962,3
963,3
964,2
965,2
966,3
967,3
968,2
969,3
970,2
971,3
972,4
973,2
974,2
975,2
976,3
977,3
978,3
979,2
